KX883406,"Beihai sipunculid worm virus 3 strain BHNXC41487 hypothetical protein 1; and hypothetical protein 2, partial cds",Beihai sipunculid worm virus 3,2044,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883407,Beihai picorna-like virus 54 strain BHNXC41489 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 54,3346,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883408,"Beihai sipunculid worm virus 5 strain BHNXC41492 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4s",Beihai sipunculid worm virus 5,4174,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883409,Beihai picorna-like virus 18 strain BHSC157282 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 18,3062,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883410,Beihai picorna-like virus 39 strain BHSC164089 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 39,3068,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883411,"Beihai picorna-like virus 120 strain BHSC167783 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4s",Beihai picorna-like virus 120,3309,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883412,Beihai picorna-like virus 35 strain BHTH15623 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 35,2932,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883413,Beihai picorna-like virus 84 strain BHTH16053 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 84,2714,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883414,Beihai picorna-like virus 108 strain BHTH16067 hypothetical protein,Beihai picorna-like virus 108,4614,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883415,Beihai picorna-like virus 73 strain BHTH16077 hypothetical protein,Beihai picorna-like virus 73,3035,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883416,Beihai barnacle virus 4 strain BHTH16136 hypothetical protein,Beihai barnacle virus 4,2537,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883417,Beihai hermit crab virus 1 strain BHTSS17051 hypothetical protein 1 and hypothetical protein 2s,Beihai hermit crab virus 1,3295,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883418,Beihai picorna-like virus 15 strain BHTSS17870 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 15,3023,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883419,Beihai picorna-like virus 63 strain BHTSS17878 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 63,2778,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883420,Beihai picorna-like virus 35 strain BHTSS17888 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 35,2970,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883421,Beihai picorna-like virus 1 strain BHTSS18000 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 1,3046,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883422,Beihai sphaeromadae virus 1 strain BHTSS18012 hypothetical protein,Beihai sphaeromadae virus 1,3179,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883423,Beihai shrimp virus 2 strain BHWZXX12501 hypothetical protein 1 and hypothetical protein 2s,Beihai shrimp virus 2,3451,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883424,Beihai picorna-like virus 90 strain BHWZXX14572 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 90,3210,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883425,Beihai picorna-like virus 35 strain BHWZXX15273 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 35,2980,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883426,"Beihai picorna-like virus 37 strain BHWZXX15436 hypothetical protein 1; and hypothetical protein 2, partial cds",Beihai picorna-like virus 37,2859,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883427,"Beihai picorna-like virus 83 strain BHWZXX15514 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Beihai picorna-like virus 83,3317,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883428,Beihai picorna-like virus 2 strain BHWZXX15591 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 2,3325,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883429,Beihai picorna-like virus 43 strain BHWZXX15634 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 43,2978,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883430,Beihai hermit crab virus 1 strain BHWZXX15637 hypothetical protein 1 and hypothetical protein 2s,Beihai hermit crab virus 1,3296,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883431,Beihai picorna-like virus 15 strain BHWZXX15642 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 15,3021,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883432,Wenzhou channeled applesnail virus 3 strain BHWZXX15670 hypothetical protein,Wenzhou channeled applesnail virus 3,2775,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883433,Beihai picorna-like virus 70 strain BHWZXX15680 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 70,3065,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883434,Beihai mantis shrimp virus 4 strain BHXG23944 hypothetical protein 1 and hypothetical protein 2s,Beihai mantis shrimp virus 4,3392,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883435,"Hubei permutotetra-like virus 11 strain 3mos6479 hypothetical protein, partial cds",Hubei permutotetra-like virus 11,886,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883436,Wuhan house centipede virus 9 strain arthropodmix13921 hypothetical protein,Wuhan house centipede virus 9,1163,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883437,Beihai sphaeromadae virus 4 strain BHTSS17969 RdRp and putative capsid proteins,Beihai sphaeromadae virus 4,2032,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883438,Beihai permutotetra-like virus 2 strain HOU234589 RdRp and putative capsid proteins,Beihai permutotetra-like virus 2,1402,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883439,"Shuangao permutotetra-like virus 1 strain insectZJ82042 RdRp, partial cds",Shuangao permutotetra-like virus 1,694,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883440,Hubei permutotetra-like virus 11 strain mosHB234479 RdRp and putative capsid proteins,Hubei permutotetra-like virus 11,1591,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883441,"Hubei permutotetra-like virus 1 strain mosZJ32939 RdRp, hypothetical protein 1, and hypothetical protein 2s",Hubei permutotetra-like virus 1,1520,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883442,Hubei permutotetra-like virus 6 strain QCM123521 RdRp and putative capsid proteins,Hubei permutotetra-like virus 6,1798,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883443,"Hubei permutotetra-like virus 2 strain QTM26624 RdRp, hypothetical protein 1, and hypothetical protein 2s",Hubei permutotetra-like virus 2,1517,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883444,Hubei permutotetra-like virus 7 strain QTM27196 RdRp and hypothetical proteins,Hubei permutotetra-like virus 7,1642,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883445,"Hubei permutotetra-like virus 4 strain QTM26287 RdRp, putative capsid protein, and hypothetical proteins",Hubei permutotetra-like virus 4,1590,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883446,Hubei permutotetra-like virus 1 strain QTM46259 RdRp and hypothetical proteins,Hubei permutotetra-like virus 1,1556,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883447,"Beihai permutotetra-like virus 1 strain SCJXSX31686 RdRp, partial cds",Beihai permutotetra-like virus 1,1079,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883448,Hubei permutotetra-like virus 1 strain spider133365 RdRp and hypothetical proteins,Hubei permutotetra-like virus 1,1525,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883449,Hubei permutotetra-like virus 3 strain spider127212 RdRp and hypothetical proteins,Hubei permutotetra-like virus 3,1597,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883450,Sanxia permutotetra-like virus 1 strain SXSSP2461 RdRp and hypothetical proteins,Sanxia permutotetra-like virus 1,1550,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883451,Sanxia water strider virus 19 strain SXSSP2568 RdRp and hypothetical proteins,Sanxia water strider virus 19,1660,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883452,Sanxia water strider virus 19 strain SXXX37734 RdRp and hypothetical proteins,Sanxia water strider virus 19,1656,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883453,"Hubei permutotetra-like virus 8 strain WHSWHC54546 RdRp, putative capsid protein, and hypothetical proteins",Hubei permutotetra-like virus 8,1705,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883454,Wuhan house centipede virus 9 strain WHYY23575 RdRp,Wuhan house centipede virus 9,1163,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883455,Hubei permutotetra-like virus 2 strain WHYY23891 RdRp and hypothetical proteins,Hubei permutotetra-like virus 2,1565,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883456,Hubei permutotetra-like virus 5 strain WHYY24053 RdRp and hypothetical proteins,Hubei permutotetra-like virus 5,1628,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883457,Hubei permutotetra-like virus 1 strain WZFSL84790 RdRp and hypothetical proteins,Hubei permutotetra-like virus 1,1473,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883458,Hubei permutotetra-like virus 10 strain ZCM16232 RdRp and putative capsid proteins,Hubei permutotetra-like virus 10,1416,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883459,Hubei permutotetra-like virus 9 strain ZCM21318 RdRp and hypothetical proteins,Hubei permutotetra-like virus 9,1677,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883460,Hubei mosquito virus 3 strain 3mos6141 RNA-dependent RNA polymerase and hypothetical proteins,Hubei mosquito virus 3,670,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883461,"Zhejiang mosquito virus 3 strain 3mos6196 hypothetical protein; and RNA-dependent RNA polymerase, partial cds",Zhejiang mosquito virus 3,1073,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883462,"Wenzhou narna-like virus 11 strain beimix75822 RNA-dependent RNA polymerase, partial cds",Wenzhou narna-like virus 11,759,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883463,Beihai narna-like virus 22 strain BHBJDX18651 RNA-dependent RNA polymerase,Beihai narna-like virus 22,1081,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883464,Beihai levi-like virus 19 strain BHBJDX18762 hypothetical proteins,Beihai levi-like virus 19,1213,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883465,Beihai narna-like virus 3 strain BHBJDX18174 RNA-dependent RNA polymerase,Beihai narna-like virus 3,938,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883466,Beihai levi-like virus 34 strain BHBJDX37870 hypothetical proteins,Beihai levi-like virus 34,1143,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883467,Beihai narna-like virus 26 strain BHHQ66335 RNA-dependent RNA polymerase,Beihai narna-like virus 26,772,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883468,Beihai narna-like virus 15 strain BHHZL10358 RNA-dependent RNA polymerase,Beihai narna-like virus 15,987,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883469,Beihai levi-like virus 20 strain BHJJX20688 hypothetical proteins,Beihai levi-like virus 20,1190,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883470,"Beihai levi-like virus 22 strain BHJJX24892 hypothetical proteins; and hypothetical protein, partial cds",Beihai levi-like virus 22,1282,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883471,"Beihai narna-like virus 25 strain BHJJX25414 RNA-dependent RNA polymerase, partial cds",Beihai narna-like virus 25,835,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883472,Beihai narna-like virus 16 strain BHJP26864 RNA-dependent RNA polymerase,Beihai narna-like virus 16,805,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883473,Beihai narna-like virus 14 strain BHJP52694 RNA-dependent RNA polymerase,Beihai narna-like virus 14,1001,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883474,Beihai levi-like virus 23 strain BHJP62133 hypothetical proteins,Beihai levi-like virus 23,1233,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883475,"Beihai levi-like virus 7 strain BHJP61416 hypothetical protein, partial cds; hypothetical protein; and hypothetical protein, partial cds",Beihai levi-like virus 7,1202,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883476,Beihai levi-like virus 16 strain BHJP63773 hypothetical proteins,Beihai levi-like virus 16,1321,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883477,Beihai narna-like virus 19 strain BHNXC41285 RNA-dependent RNA polymerase,Beihai narna-like virus 19,1399,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883478,"Beihai narna-like virus 5 strain BHNXC41323 RNA-dependent RNA polymerase, partial cds; and hypothetical protein",Beihai narna-like virus 5,1350,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883479,Beihai levi-like virus 32 strain BHSC167323 hypothetical proteins,Beihai levi-like virus 32,1496,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883480,Beihai levi-like virus 25 strain BHSC163351 hypothetical proteins,Beihai levi-like virus 25,1162,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883481,Beihai levi-like virus 22 strain BHTH16011 hypothetical proteins,Beihai levi-like virus 22,1310,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883482,Beihai barnacle virus 10 strain BHTH18714 RNA-dependent RNA polymerase,Beihai barnacle virus 10,984,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883483,Beihai levi-like virus 27 strain BHTH15291 hypothetical proteins,Beihai levi-like virus 27,1199,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883484,"Beihai levi-like virus 11 strain BHTH16058 hypothetical proteins; and hypothetical protein, partial cds",Beihai levi-like virus 11,1207,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883485,Beihai levi-like virus 17 strain BHTH16066 hypothetical proteins,Beihai levi-like virus 17,1317,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883486,Beihai levi-like virus 2 strain BHTSS13603 hypothetical proteins,Beihai levi-like virus 2,1332,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883487,Beihai levi-like virus 24 strain BHTSS11091 hypothetical proteins,Beihai levi-like virus 24,1236,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883488,Beihai levi-like virus 3 strain BHTSS17989 hypothetical proteins,Beihai levi-like virus 3,1208,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883489,Beihai levi-like virus 4 strain BHTSS17991 hypothetical proteins,Beihai levi-like virus 4,1192,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883490,"Beihai levi-like virus 8 strain BHTSS17667 hypothetical proteins; and hypothetical protein, partial cds",Beihai levi-like virus 8,1082,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883491,Beihai levi-like virus 5 strain BHTSS17971 hypothetical proteins,Beihai levi-like virus 5,1250,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883492,Beihai levi-like virus 10 strain BHTSS17923 hypothetical proteins,Beihai levi-like virus 10,1234,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883493,Beihai levi-like virus 9 strain BHTSS17966 hypothetical proteins,Beihai levi-like virus 9,1185,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883494,Beihai levi-like virus 13 strain BHTSS2294 hypothetical proteins,Beihai levi-like virus 13,1155,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883495,Beihai levi-like virus 1 strain BHTSS17154 hypothetical proteins,Beihai levi-like virus 1,1383,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883496,Beihai levi-like virus 6 strain BHTSS17847 hypothetical proteins,Beihai levi-like virus 6,1216,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883497,Beihai levi-like virus 18 strain BHWZXX15152 hypothetical proteins,Beihai levi-like virus 18,1269,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883498,Beihai narna-like virus 13 strain BHWZXX14912 RNA-dependent RNA polymerase,Beihai narna-like virus 13,928,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883499,Beihai levi-like virus 28 strain BHXG26591 hypothetical proteins,Beihai levi-like virus 28,1492,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883500,Beihai narna-like virus 24 strain BHXG26712 hypothetical protein and RNA-dependent RNA polymerases,Beihai narna-like virus 24,892,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883501,"Beihai levi-like virus 35 strain BHXun32039 hypothetical proteins; and hypothetical protein, partial cds",Beihai levi-like virus 35,1106,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883502,Beihai levi-like virus 14 strain BHXun31396 hypothetical proteins,Beihai levi-like virus 14,1416,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883503,Beihai narna-like virus 6 strain BHZC37402 RNA-dependent RNA polymerase,Beihai narna-like virus 6,960,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883504,"Beihai narna-like virus 7 strain BHZC36598 RNA-dependent RNA polymerase, partial cds",Beihai narna-like virus 7,857,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883505,Beihai narna-like virus 12 strain BHZC35702 RNA-dependent RNA polymerase,Beihai narna-like virus 12,848,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883506,Beihai levi-like virus 21 strain BHZY58374 hypothetical proteins,Beihai levi-like virus 21,1234,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883507,Beihai narna-like virus 23 strain BHZY57139 RNA-dependent RNA polymerase and hypothetical proteins,Beihai narna-like virus 23,1203,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883508,Beihai narna-like virus 4 strain BHZY53599 RNA-dependent RNA polymerase,Beihai narna-like virus 4,895,Viruses; unclassified RNA viruses,,,,,,,,,,
